src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes
Bed + Bath,-,-,131,,Home,Decor,-,
Bed + Bath,Bathroom Decor + Accessories,Floor Mats,3,,Home,Decor,-,
Bed + Bath,Bathroom Decor + Accessories,Hanging Racks + Hooks,0,,Home,Organization,-,
Bed + Bath,Bathroom Decor + Accessories,Mirrors,1,,Home,Decor,Mirrors,
Bed + Bath,Bathroom Decor + Accessories,Step Stools,0,,Home,Z_Other,-,
Bed + Bath,Bathroom Decor + Accessories,Storage + Organization,1,,Home,Organization,-,
Bed + Bath,Bathroom Decor + Accessories,Towels,6,,Bath and Body,Towels,-,
Bed + Bath,Bedding + Pillows,Bedding + Pillows,53,,Home,Bedding and Linen,-,
Bed + Bath,Bedding + Pillows,Mattresses,7,,Home,Bedding and Linen,Mattresses,
Bed + Bath,Bedding + Pillows,Pillows + Throws,16,,Home,Decor,Decorative Pillows and Throws,
Bed + Bath,Bedroom Furniture,Beds + Headboards,0,,Home,Furniture,Beds,
Bed + Bath,Bedroom Furniture,Bedside Tables + Nightstands,0,,Home,Furniture,Side Tables,
Bed + Bath,Bedroom Furniture,Benches + Stools,0,,Home,Furniture,Chairs and Sofas,
Bed + Bath,Bedroom Furniture,"Chests, Dressers + Vanities",0,,Home,Furniture,Dressers,
Bed + Bath,Bedroom Furniture,Coat Racks + Umbrella Stands,0,,Home,Organization,-,
Bed + Bath,Bedroom Furniture,Coffee Tables,0,,Home,Furniture,-,
Bed + Bath,Bedroom Furniture,"Credenzas, Buffets + Sideboards",0,,Home,Furniture,-,
Bed + Bath,Bedroom Furniture,Decor,0,,Home,Decor,-,
Bed + Bath,Bedroom Furniture,Entryway Accessories,0,,Home,Decor,-,
Bed + Bath,Bedroom Furniture,"Mattresses, Pillows + Bedding",0,,Home,Bedding and Linen,-,
Bed + Bath,Bedroom Furniture,Mirrors,0,,Home,Decor,Mirrors,
Bed + Bath,Bedroom Furniture,Pillows + Throws,0,,Home,Decor,Decorative Pillows and Throws,
Bed + Bath,Bedroom Furniture,Shelves + Bookcases,0,,Home,Furniture,Bookcases and Cubbies,
Bed + Bath,Bedroom Furniture,Side + End Tables,0,,Home,Furniture,Side Tables,
Bed + Bath,Bedroom Furniture,Storage Accessories,0,,Home,Furniture,-,
Bed + Bath,Bedroom Furniture,Table + Desk Lamps,0,,Home,Decor,Lighting,
Bed + Bath,Bedroom Lighting,-,44,,Home,Decor,Lighting,
Bed + Bath,Mirrors,-,,,Home,Decor,Mirrors,
Decor,-,-,2179,,Home,Decor,-,
