src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes
Accessories,Accessory Kits,-,493,,,,,
Accessories,Backpacks,-,101,,,,,
Accessories,Belts,-,56,,,,,
Accessories,Boots/Shoes,-,399,,,,,
Accessories,Capes,-,98,,,,,
Accessories,Costume Jewelry,-,233,,,,,
Accessories,Face Masks,-,50,,,,,
Accessories,Fake Blood,-,23,,,,,
Accessories,Fishnet Stockings,-,127,,,,,
Accessories,Glasses / Sunglasses,-,154,,,,,
Accessories,Gloves,-,276,,,,,
Accessories,Halloween Clothes,-,417,,,,,
Accessories,Hats,-,892,,,,,
Accessories,Headbands,-,384,,,,,
Accessories,Leggings,-,32,,,,,
Accessories,Makeup,-,525,,,,,
Accessories,Masks,-,905,,,,,
Accessories,Mustaches / Beards,-,108,,,,,
Accessories,Petticoats,-,82,,,,,
Accessories,Purses,-,291,,,,,
Accessories,Scarves,-,92,,,,,
Accessories,Socks / Slippers,-,131,,,,,
Accessories,Toy Weapons,-,480,,,,,
Accessories,Trick Or Treat Bags / Pails,-,89,,,,,
Accessories,Wigs,-,893,,,,,
Accessories,Wings,-,97,,,,,
Costume Ideas,20s Costumes,-,486,,,,,
Costume Ideas,50s Costumes,-,320,,,,,
Costume Ideas,70s Costumes,-,492,,,,,
Costume Ideas,80s Costumes,-,556,,,,,
Costume Ideas,90s Costumes,-,312,,,,,
Costume Ideas,Addams Family Costumes,-,160,,,,,
Costume Ideas,Alice in Wonderland Costumes,-,501,,,,,
Costume Ideas,Alien Costumes,-,254,,,,,
Costume Ideas,Animal Costumes,-,4216,,,,,
Costume Ideas,Anime Costumes,-,350,,,,,
Costume Ideas,Avengers Costumes,-,80,,,,,
Costume Ideas,Batman Costumes,-,120,,,,,
Costume Ideas,Bluey Costumes,-,28,,,,,
Costume Ideas,Chucky Costumes,-,67,,,,,
Costume Ideas,Costume Apparel,-,1386,,,,,
Costume Ideas,Cowboy Costumes,-,244,,,,,
Costume Ideas,Deadpool Costumes,-,25,,,,,
Costume Ideas,Descendants Costumes,-,27,,,,,
Costume Ideas,Dinosaur Costumes,-,277,,,,,
Costume Ideas,Disco Costumes,-,288,,,,,
Costume Ideas,Disney Costumes,-,1900,,,,,
Costume Ideas,Flapper Costumes,-,301,,,,,
Costume Ideas,Food Costumes,-,806,,,,,
Costume Ideas,Fortnite Costumes,-,113,,,,,
Costume Ideas,Frozen Costumes,-,74,,,,,
Costume Ideas,Funny Costumes,-,1927,,,,,
Costume Ideas,Game of Thrones Costumes,-,98,,,,,
Costume Ideas,Harry Potter Costumes,-,374,,,,,
Costume Ideas,Historical Costumes,-,1653,,,,,
Costume Ideas,Inflatable Costumes,-,338,,,,,
Costume Ideas,Inside Out Costumes,-,29,,,,,
Costume Ideas,Kung Fu Panda Costumes,-,22,,,,,
Costume Ideas,Little Red Riding Hood Costumes,-,225,,,,,
Costume Ideas,Michael Myers Costumes,-,69,,,,,
Costume Ideas,Minecraft Costumes,-,72,,,,,
Costume Ideas,Minions Costumes,-,39,,,,,
Costume Ideas,New 2024 Costumes,-,1789,,,,,
Costume Ideas,Pet Costumes,-,381,,,,,
Costume Ideas,Pirate Costumes,-,566,,,,,
Costume Ideas,PJ Masks Costumes,-,34,,,,,
Costume Ideas,Pokémon Costumes,-,120,,,,,
Costume Ideas,Power Rangers Costumes,-,74,,,,,
Costume Ideas,Religion Costumes,-,544,,,,,
Costume Ideas,Roman & Greek Costumes,-,191,,,,,
Costume Ideas,Scary Costumes,-,4039,,,,,
Costume Ideas,Sports Costumes,-,509,,,,,
Costume Ideas,Star Wars Costumes,-,366,,,,,
Costume Ideas,Storybook & Fairytale Costumes,-,4042,,,,,
Costume Ideas,Superhero Costumes,-,1268,,,,,
Costume Ideas,Transformers Costumes,-,56,,,,,
Costume Ideas,TV / Movie Costumes,-,7676,,,,,
Costume Ideas,Uniform Costumes,-,1852,,,,,
Costume Ideas,Video Game Costumes,-,864,,,,,
Costume Ideas,Viking Costumes,-,147,,,,,
Costume Ideas,Witch Costumes,-,919,,,,,
Costume Ideas,Wizard of Oz Costumes,-,394,,,,,
Costume Ideas,Wolverine Costumes,-,13,,,,,
Decorations,Animatronics,-,198,,,,,
Decorations,Christmas Decorations,-,49,,,,,
Decorations,Door Decorations,-,91,,,,,
Decorations,Fog Machines,-,25,,,,,
Decorations,Halloween Lights,-,113,,,,,
Decorations,Halloween Props,-,676,,,,,
Decorations,Indoor Decorations,-,1062,,,,,
Decorations,Inflatable Decorations,-,165,,,,,
Decorations,Kid Friendly Décor,-,289,,,,,
Decorations,Outdoor Decorations,-,704,,,,,
Decorations,Pumpkin Décor,-,253,,,,,
Decorations,Scary Decorations,-,588,,,,,
Decorations,Skeletons & Skulls,-,429,,,,,
Decorations,Spiders & Spider Webs,-,100,,,,,
Exclusive,A League of Their Own Costumes,-,36,,,,,
Exclusive,Ace Ventura Costumes,-,18,,,,,
Exclusive,Back to the Future Costumes,-,47,,,,,
Exclusive,Beetlejuice Costumes,-,185,,,,,
Exclusive,Captain Underpants Costumes,-,13,,,,,
Exclusive,Care Bears Costumes,-,169,,,,,
Exclusive,Carmen Sandiego Costumes,-,16,,,,,
Exclusive,Clueless Costumes,-,47,,,,,
Exclusive,Coming to America Costumes,-,15,,,,,
Exclusive,Coraline Costumes,-,27,,,,,
Exclusive,Dragon Ball Z Costumes,-,48,,,,,
Exclusive,ET Costumes,-,7,,,,,
Exclusive,Fifth Element Costumes,-,9,,,,,
Exclusive,Forrest Gump Costumes,-,22,,,,,
Exclusive,Frida Kahlo Costumes,-,9,,,,,
Exclusive,Garfield Costumes,-,19,,,,,
Exclusive,Ghostbusters Costumes,-,170,,,,,
Exclusive,Grease Costumes,-,106,,,,,
Exclusive,Hocus Pocus Costumes,-,81,,,,,
Exclusive,Hotel Transylvania Costumes,-,29,,,,,
Exclusive,Inspector Gadget Costumes,-,9,,,,,
Exclusive,Jurassic Park Costumes,-,80,,,,,
Exclusive,Karate Kid Costumes,-,37,,,,,
Exclusive,KISS Costumes,-,38,,,,,
Exclusive,Labyrinth Costumes,-,20,,,,,
Exclusive,Mean Girls Costumes,-,29,,,,,
Exclusive,Monsters Inc. Costumes,-,42,,,,,
Exclusive,Munsters Costumes,-,50,,,,,
Exclusive,Nacho Libre Costumes,-,12,,,,,
Exclusive,Odd Squad Costumes,-,7,,,,,
Exclusive,Pete the Cat Costumes,-,15,,,,,
Exclusive,Plants vs Zombies Costumes,-,30,,,,,
Exclusive,Princess Bride Costumes,-,37,,,,,
Exclusive,Pulp Fiction Costumes,-,24,,,,,
Exclusive,Raggedy Ann Costumes,-,33,,,,,
Exclusive,Rainbow Brite Costumes,-,22,,,,,
Exclusive,Richard Simmons Costumes,-,8,,,,,
Exclusive,Sailor Moon Costumes,-,46,,,,,
Exclusive,Sharkboy & Lavagirl Costumes,-,17,,,,,
Exclusive,Smurfs Costumes,-,23,,,,,
Exclusive,Teletubbies Costumes,-,26,,,,,
Exclusive,Trolls Costumes,-,49,,,,,
Exclusive,WWE Costumes,-,82,,,,,
Kids Costumes,Adaptive Costumes,-,49,,,,,
Kids Costumes,Baby Costumes,-,821,,,,,
Kids Costumes,Boy Costumes,-,3314,,,,,
Kids Costumes,Girl Costumes,-,3486,,,,,
Kids Costumes,Teen Costumes,-,83,,,,,
Kids Costumes,Toddler Costumes,-,1561,,,,,
