src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,,,
Furniture,Classroom Furniture Collections,Flexible Seating | Bean Bag Chair,16,,Toys,Lawn Games,Bean Bags,,Age/Grade,10 Years (Grade 5),Board Games
Furniture,Classroom Furniture Collections,Flexible Seating | Bean Bag Sofa,1,,Toys,Lawn Games,Bean Bags,,Age/Grade,10 Years (Grade 5),Book Bin
Furniture,Classroom Furniture Collections,Flexible Seating | Bench,0,,Home,Furniture,-,,Age/Grade,10 Years (Grade 5),Books
Furniture,Classroom Furniture Collections,Flexible Seating | Chair,2,,Home,Furniture,Chairs and Sofas,,Age/Grade,10 Years (Grade 5),Caddy
Furniture,Classroom Furniture Collections,"Flexible Seating | Cushions,Cushion Seats",2,,Toys,Lawn Games,-,,Age/Grade,10 Years (Grade 5),Card Games
Furniture,Classroom Furniture Collections,Flexible Seating | Cushions,18,,Toys,Lawn Games,-,,Age/Grade,10 Years (Grade 5),Chart
Furniture,Classroom Furniture Collections,Flexible Seating | Educational Carpets,0,,Toys,Baby & Toddler Toys,Baby Gyms & Playmats,,Age/Grade,10 Years (Grade 5),Cover
Furniture,Classroom Furniture Collections,Flexible Seating | Filling,1,,Home,Furniture,Storage,,Age/Grade,10 Years (Grade 5),Craft Kit
Furniture,Classroom Furniture Collections,Flexible Seating | Floor Pillows,1,,Home,Decor,-,,Age/Grade,10 Years (Grade 5),Curriculum Resources
Furniture,Classroom Furniture Collections,Flexible Seating | Ottoman,1,,Home,Furniture,Chairs and Sofas,,Age/Grade,10 Years (Grade 5),Decorative Stickers
Furniture,Classroom Furniture Collections,Flexible Seating | Pillows,6,,Home,Decor,Decorative Pillows and Throws,,Age/Grade,10 Years (Grade 5),Folder Games
Furniture,Classroom Furniture Collections,Flexible Seating | Play Space,1,,Toys,Playsets & Equipment,-,,Age/Grade,10 Years (Grade 5),Folders
Furniture,Classroom Furniture Collections,Flexible Seating | Posters,0,,Crafts & School Supplies,Z_Other,-,,Age/Grade,10 Years (Grade 5),General Use Carpets
Furniture,Classroom Furniture Collections,Flexible Seating | Posture Cushion,1,,Home,Decor,-,,Age/Grade,10 Years (Grade 5),Mats
Furniture,Classroom Furniture Collections,Flexible Seating | Poufs,10,,Toys,Lawn Games,Bean Bags,,Age/Grade,10 Years (Grade 5),Miscellaneous Paper Products
Furniture,Classroom Furniture Collections,"Flexible Seating | Sofa,Stool,Pillows,Bean Bag Chair,Soft Seating",5,,Home,Furniture,Chairs and Sofas,,Age/Grade,10 Years (Grade 5),n/a
Furniture,Classroom Furniture Collections,Flexible Seating | Sofa,0,,Home,Furniture,Chairs and Sofas,,Age/Grade,10 Years (Grade 5),Notebooks
Furniture,Classroom Furniture Collections,Flexible Seating | Soft Seating,3,,Home,Furniture,Chairs and Sofas,,Age/Grade,10 Years (Grade 5),Partition
Furniture,Classroom Furniture Collections,Flexible Seating | Stools,0,,Home,Furniture,-,,Age/Grade,10 Years (Grade 5),Pencils
Furniture,Classroom Furniture Collections,Flexible Seating | Storage Bench,0,,Home,Furniture,Storage,,Age/Grade,10 Years (Grade 5),Posters
Furniture,Classroom Furniture Collections,Flexible Seating | Storage,1,,Home,Furniture,Storage,,Age/Grade,10 Years (Grade 5),Storage
Furniture,Classroom Furniture Collections,Flexible Seating | bundle,0,,Home,Furniture,-,,Age/Grade,10 Years (Grade 5),Tray
Furniture,Classroom Furniture Collections,Flexible Seating | n/a,2,,Home,Decor,-,,Age/Grade,11 Years (Grade 6),Banners
Furniture,Classroom Furniture Collections,Social Seating | Activity Center,0,,Home,Furniture,-,,Age/Grade,11 Years (Grade 6),Board Games
Furniture,Classroom Furniture Collections,Social Seating | Bean Bag Chair,0,,Toys,Lawn Games,Bean Bags,,Age/Grade,11 Years (Grade 6),Book Bin
Furniture,Classroom Furniture Collections,Social Seating | Bean Bag Sofa,0,,Toys,Lawn Games,Bean Bags,,Age/Grade,11 Years (Grade 6),Books
Furniture,Classroom Furniture Collections,Social Seating | Bench,1,,Toys,Pretend Play,Toy Furniture,,Age/Grade,11 Years (Grade 6),"Building Blocks,Connecting Blocks"
Furniture,Classroom Furniture Collections,Social Seating | Chair,2,,Home,Furniture,Chairs and Sofas,,Age/Grade,11 Years (Grade 6),bundle
Furniture,Classroom Furniture Collections,Social Seating | Coffee Tables,1,,Toys,Pretend Play,Toy Furniture,,Age/Grade,11 Years (Grade 6),Card Games
Furniture,Classroom Furniture Collections,"Social Seating | Cushions,Cushion Seats",0,,Toys,Lawn Games,-,,Age/Grade,11 Years (Grade 6),Chart
Furniture,Classroom Furniture Collections,Social Seating | Cushions,0,,Toys,Lawn Games,-,,Age/Grade,11 Years (Grade 6),Clay
Furniture,Classroom Furniture Collections,Social Seating | End Tables,1,,Toys,Pretend Play,Toy Furniture,,Age/Grade,11 Years (Grade 6),Clip Boards
Furniture,Classroom Furniture Collections,Social Seating | Filling,0,,Toys,Z_Other,-,,Age/Grade,11 Years (Grade 6),Craft Kit
Furniture,Classroom Furniture Collections,Social Seating | Floor Pillows,0,,Toys,Lawn Games,-,,Age/Grade,11 Years (Grade 6),Curriculum Resources
Furniture,Classroom Furniture Collections,Social Seating | Furniture Set,3,,Toys,Pretend Play,Toy Furniture,,Age/Grade,11 Years (Grade 6),Dough
Furniture,Classroom Furniture Collections,Social Seating | Ottoman,0,,Toys,Furniture,Chairs and Sofas,,Age/Grade,11 Years (Grade 6),Easel
Furniture,Classroom Furniture Collections,Social Seating | Pillows,0,,Home,Decor,Decorative Pillows and Throws,,Age/Grade,11 Years (Grade 6),Educational Carpets
Furniture,Classroom Furniture Collections,Social Seating | Play Space Pieces,1,,Toys,Playsets & Equipment,-,,Age/Grade,11 Years (Grade 6),Folders
Furniture,Classroom Furniture Collections,Social Seating | Play Space,0,,Toys,Playsets & Equipment,-,,Age/Grade,11 Years (Grade 6),General Use Carpets
Furniture,Classroom Furniture Collections,Social Seating | Posture Cushion,0,,Toys,Lawn Games,-,,Age/Grade,11 Years (Grade 6),Greeting Card
Furniture,Classroom Furniture Collections,Social Seating | Poufs,0,,Toys,Lawn Games,Bean Bags,,Age/Grade,11 Years (Grade 6),Magnets
Furniture,Classroom Furniture Collections,Social Seating | Rocker,0,,Toys,Furniture,Chairs and Sofas,,Age/Grade,11 Years (Grade 6),Markers
Furniture,Classroom Furniture Collections,Social Seating | Role Playing Toys,1,,Toys,Playsets & Equipment,-,,Age/Grade,11 Years (Grade 6),Mats
Furniture,Classroom Furniture Collections,"Social Seating | Sofa,Stool,Pillows,Bean Bag Chair,Soft Seating",0,,Toys,Pretend Play,Toy Furniture,,Age/Grade,11 Years (Grade 6),Miscellaneous Paper Products
Furniture,Classroom Furniture Collections,Social Seating | Sofa,8,,Toys,Pretend Play,Toy Furniture,,Age/Grade,11 Years (Grade 6),Movement Kit
