productType,category,subCategory,pt aliases,cat aliases,sub-cat aliases,descriptions,,,
Accessories,-,-,,,,,,,
Accessories,Eyewear,-,,,,,,,
Accessories,Eyewear,Glasses,,,,,,,
Accessories,Eyewear,Sunglasses,,,,,,,
Accessories,Umbrellas,-,,,,,,,
Accessories,Wallets,-,,,,,,,
Accessories,Z_Other,-,,,,,,,
Apparel,-,-,,,,,,,
Apparel,Accessories,-,Clothing,,,,,,
Apparel,Accessories,Belts,Clothing,,,,,,
Apparel,Accessories,Fashion Scarves,Clothing,,,,,,
Apparel,Accessories,Ties,Clothing,,,,,,
Apparel,Bras,-,Clothing,,,,,,
Apparel,Bras,Bralettes,Clothing,,,,,,
Apparel,Bras,Camisoles,Clothing,,,,,,
Apparel,Bras,Full Coverage Bras,Clothing,,,,,,
Apparel,Bras,Slips and Undershirts ,Clothing,,,,,,
Apparel,Bras,Sports Bras,Clothing,,,,,,
Apparel,Bras,Training Bras,Clothing,,,,,,
Apparel,Dresses,-,Clothing,,,,,,
Apparel,Dresses,A-line Dresses,Clothing,,,,,,
Apparel,Dresses,Athletic Dresses,Clothing,,,,,,
Apparel,Dresses,Babydoll Dresses,Clothing,,,,,,
Apparel,Dresses,Maxi Dresses,Clothing,,,,,,
Apparel,Dresses,Shift Dresses,Clothing,,,,,,
Apparel,Dresses,Shirt Dresses,Clothing,,,,,,
Apparel,Dresses,Skater Dresses,Clothing,,,,,,
Apparel,Dresses,Sundresses,Clothing,,,,,,
Apparel,Dresses,Sweater Dresses,Clothing,,,,,,
Apparel,Dresses,T-shirt Dresses,Clothing,,,,,,
Apparel,Dresses,Tunic Dresses,Clothing,,,,,,
Apparel,Dresses,Tutu Dresses,Clothing,,,,,,
Apparel,Lounge and Sleepwear,-,Clothing,"PJs, Pajamas",,,,,
Apparel,Lounge and Sleepwear,Eye Masks,Clothing,"PJs, Pajamas",,,,,
Apparel,Lounge and Sleepwear,Footie Pajamas,Clothing,"PJs, Pajamas","Onesie Pajamas, Zippy Pajamas",,,,
Apparel,Lounge and Sleepwear,Nightgowns,Clothing,"PJs, Pajamas","nightdress, nightshirt, nightie",,,,
Apparel,Lounge and Sleepwear,Pajama Pants,Clothing,"PJs, Pajamas",,,,,
Apparel,Lounge and Sleepwear,Pajama Sets,Clothing,"PJs, Pajamas",,,,,
Apparel,Lounge and Sleepwear,Union Suits,Clothing,"PJs, Pajamas",,,,,
Apparel,One-Piece Clothing,-,Clothing,,,,,,
Apparel,One-Piece Clothing,Coveralls,Clothing,,,,,,
Apparel,One-Piece Clothing,Jumpsuits,Clothing,,,,,,
Apparel,One-Piece Clothing,Overalls,Clothing,,,,,,
Apparel,One-Piece Clothing,Rompers,Clothing,,,,,,
Apparel,One-Piece Clothing,Shortalls,Clothing,,,,,,
Apparel,Outfit Sets,-,Clothing,,,,,,
Apparel,Pants,-,Clothing,Bottoms,,,,,
Apparel,Pants,Athletic Leggings,Clothing,Bottoms,Yoga Pants,,,,
Apparel,Pants,Cargo Pants,Clothing,Bottoms,,,,,
Apparel,Pants,Chino Pants,Clothing,Bottoms,,,,,
Apparel,Pants,Fashion Pants,Clothing,Bottoms,,,,,
Apparel,Pants,Five-Pocket Pants,Clothing,Bottoms,,,,,
Apparel,Pants,Jeans,Clothing,Bottoms,"Denim Pants, dungarees",,,,
Apparel,Pants,Jogger Pants,Clothing,Bottoms,,,,,
Apparel,Pants,Leggings,Clothing,Bottoms,,,,,
Apparel,Pants,Pull-On Pants,Clothing,Bottoms,,,,,
Apparel,Pants,Sweatpants,Clothing,Bottoms,,,,,
Apparel,Shorts,-,Clothing,Bottoms,,,,,
Apparel,Shorts,Athletic Shorts,Clothing,Bottoms,"Gym Shorts, Running Shorts",,,,
Apparel,Shorts,Bike Shorts,Clothing,Bottoms,,,,,
Apparel,Shorts,Chino Shorts,Clothing,Bottoms,,,,,
Apparel,Shorts,Jean Shorts,Clothing,Bottoms,Denim Shorts,,,,
Apparel,Shorts,Jogger Shorts,Clothing,Bottoms,,,,,
Apparel,Shorts,Pull-On Shorts,Clothing,Bottoms,,,,,
Apparel,Shorts,Trouser Shorts,Clothing,Bottoms,,,,,
Apparel,Skirts,-,Clothing,Bottoms,,,,,
Apparel,Skirts,A-Line Skirts,Clothing,Bottoms,,,,,
Apparel,Skirts,Ballet Skirts,Clothing,Bottoms,,,,,
Apparel,Skirts,Full Skirts,Clothing,Bottoms,Maxi Skirts,,,,
Apparel,Skirts,Midi Skirts,Clothing,Bottoms,,,,,
Apparel,Skirts,Mini Skirts,Clothing,Bottoms,Short Skirts,,,,
Apparel,Skirts,Skorts,Clothing,Bottoms,Built-in Shorts,,,,
Apparel,Skirts,Tennis Skirts,Clothing,Bottoms,,,,,
Apparel,Skirts,Tutu Skirts,Clothing,Bottoms,Tulle Skirts,,,,
Apparel,Socks,-,Clothing,,,,,,
Apparel,Socks,Ankle Socks,Clothing,,,,,,
Apparel,Socks,Athletic Socks,Clothing,,,,,,
Apparel,Socks,Boot Socks,Clothing,,,,,,
Apparel,Socks,Crew Socks,Clothing,,,,,,
Apparel,Socks,Formal Socks,Clothing,,"Dress Socks, Fold-over socks, Ruffle Socks, Cuffed Socks",,,,
Apparel,Socks,Knee High Socks,Clothing,,,,,,
Apparel,Socks,Low Cut Socks,Clothing,,,,,,
Apparel,Socks,No Show Socks,Clothing,,,,,,
Apparel,Socks,Tights,Clothing,,"Stockings, nylons, hose, panty hose, ballet tights",,,,
Apparel,Socks,Wool Socks,Clothing,,"Ski Socks, Hiking Socks",,,,
Apparel,Suiting,-,Clothing,,,,,,
Apparel,Suiting,Blazers,Clothing,,"Sports Coat, Sports Jacket",,,,
Apparel,Suiting,Suits,Clothing,,,,,,
Apparel,Swim,-,Clothing,,,,,,
Apparel,Swim,Board Shorts,Clothing,,"Surf Trunks, Swim shorts",,,,
Apparel,Swim,One-Piece Swimsuits,Clothing,,One-piece bathing suit,,,,
Apparel,Swim,Rash Guards,Clothing,,"Rashie, Swim shirts",,,,
Apparel,Swim,Swim Trunks,Clothing,,Swim shorts,,,,
Apparel,Swim,Two-Piece Swimsuits,Clothing,,Two-piece bathing suit,,,,
Apparel,Swim,Wet Suits,Clothing,,,,,,
Apparel,Thermals,-,Clothing,Base Layers,,,,,
Apparel,Thermals,Bottoms,Clothing,Base Layers,,,,,
Apparel,Thermals,Sets,Clothing,Base Layers,,,,,
