src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,combined,ent_pt_2_pred,ent_cat_2_pred,ent_sc_2_pred
body care,,,1280,,Bath and Body,Personal Hygiene,-,,body care  ,Home,Decor,-
body care,bath  body accessories,bath sponges gloves  brushes,41,,Bath and Body,Bath Products,-,counts from dataset,body care bath  body accessories bath sponges gloves  brushes,Home,Decor,-
body care,bath  body accessories,hair towels  shower caps,33,,Bath and Body,Towels,-,,body care bath  body accessories hair towels  shower caps,Home,Decor,-
body care,bath  body accessories,trend  fashion accessories,19,,Accessories,Z_Other,-,,body care bath  body accessories trend  fashion accessories,Home,Decor,-
body care,bath  shower,bath bombs  shower steamers,38,,Bath and Body,Bath Products,Bath Bombs & Salts,,body care bath  shower bath bombs  shower steamers,Home,Decor,-
body care,bath  shower,body scrubs  exfoliants,110,,Bath and Body,Bath Products,-,,body care bath  shower body scrubs  exfoliants,Home,Decor,-
body care,bath  shower,bubble bath  soaks,55,,Bath and Body,Bath Products,Bubble Bath,,body care bath  shower bubble bath  soaks,Home,Decor,-
body care,bath  shower,shower gel  body wash,148,,Bath and Body,Skin Care,Bath Soaps and Body Wash,,body care bath  shower shower gel  body wash,Home,Decor,-
body care,body mist  hair mist,,62,,Bath and Body,Personal Hygiene,-,,body care body mist  hair mist ,Home,Decor,-
body care,body moisturizers,body butters,40,,Bath and Body,Skin Care,-,,body care body moisturizers body butters,Home,Decor,-
body care,body moisturizers,body lotion  creams,176,,Bath and Body,Skin Care,Lotion and Balm,,body care body moisturizers body lotion  creams,Home,Decor,-
body care,body moisturizers,body serums  oils,69,,Bath and Body,Skin Care,-,,body care body moisturizers body serums  oils,Home,Decor,-
body care,hand  foot care,hand cream  foot cream,70,,Bath and Body,Skin Care,-,,body care hand  foot care hand cream  foot cream,Home,Decor,-
body care,hand  foot care,hand  foot treatment,38,,Bath and Body,Skin Care,-,,body care hand  foot care hand  foot treatment,Home,Decor,-
body care,hand  foot care,hand soap  sanitizers,24,,Bath and Body,Personal Hygiene,Hand Sanitizer,,body care hand  foot care hand soap  sanitizers,Home,Decor,-
