src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,combined
body care,,,1280,,bath and body,hair care,,,body care  
body care,bath  body accessories,bath sponges gloves  brushes,41,,bath and body,,,counts from dataset,body care bath  body accessories bath sponges gloves  brushes
body care,bath  body accessories,hair towels  shower caps,33,,bath and body,hair care,,,body care bath  body accessories hair towels  shower caps
body care,bath  body accessories,trend  fashion accessories,19,,bath and body,hair accessories,,,body care bath  body accessories trend  fashion accessories
body care,bath  shower,bath bombs  shower steamers,38,,bath and body,bath products,bath bombs  salts,,body care bath  shower bath bombs  shower steamers
body care,bath  shower,body scrubs  exfoliants,110,,bath and body,hair care,,,body care bath  shower body scrubs  exfoliants
body care,bath  shower,bubble bath  soaks,55,,bath and body,bath products,bubble bath,,body care bath  shower bubble bath  soaks
body care,bath  shower,shower gel  body wash,148,,bath and body,skin care,bath soaps and body wash,,body care bath  shower shower gel  body wash
body care,body mist  hair mist,,62,,bath and body,hair care,,,body care body mist  hair mist 
body care,body moisturizers,body butters,40,,bath and body,hair care,,,body care body moisturizers body butters
body care,body moisturizers,body lotion  creams,176,,bath and body,skin care,lotion and balm,,body care body moisturizers body lotion  creams
body care,body moisturizers,body serums  oils,69,,bath and body,hair care,,,body care body moisturizers body serums  oils
body care,hand  foot care,hand cream  foot cream,70,,toys,backyard  playground toys,hand balls,,body care hand  foot care hand cream  foot cream
body care,hand  foot care,hand  foot treatment,38,,toys,backyard  playground toys,hand balls,,body care hand  foot care hand  foot treatment
body care,hand  foot care,hand soap  sanitizers,24,,toys,backyard  playground toys,hand balls,,body care hand  foot care hand soap  sanitizers
body care,hand  foot care,manicure  pedicure tools,0,,bath and body,hair care,,,body care hand  foot care manicure  pedicure tools
body care,mother  baby,,4,,bath and body,hair care,,,body care mother  baby 
body care,self care  wellness,aromatherapy,8,,bath and body,hair care,,,body care self care  wellness aromatherapy
body care,self care  wellness,deodorant,67,,bath and body,hair care,,,body care self care  wellness deodorant
body care,self care  wellness,down there care,54,,bath and body,hair care,,,body care self care  wellness down there care
body care,self care  wellness,hair removal,136,,bath and body,hair care,,,body care self care  wellness hair removal
body care,self care  wellness,oral care,41,,bath and body,health and medicine,oral care,,body care self care  wellness oral care
body care,self care  wellness,sleep essentials,36,,bath and body,hair care,,,body care self care  wellness sleep essentials
body care,self care  wellness,spa essentials,11,,bath and body,hair care,,,body care self care  wellness spa essentials
body care,self care  wellness,supplements,0,,bath and body,hair care,,,body care self care  wellness supplements
body care,self care  wellness,body treatments,0,,bath and body,hair care,,,body care self care  wellness body treatments
body care,suncare,after sun care,0,,bath and body,hair care,,,body care suncare after sun care
