src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,combined
bed  bath,,,131.0,,home,safety,bed rails,,bed  bath  
bed  bath,bathroom decor  accessories,floor mats,3.0,,home,safety,bed rails,,bed  bath bathroom decor  accessories floor mats
bed  bath,bathroom decor  accessories,hanging racks  hooks,0.0,,home,safety,bed rails,,bed  bath bathroom decor  accessories hanging racks  hooks
bed  bath,bathroom decor  accessories,mirrors,1.0,,home,decor,mirrors,,bed  bath bathroom decor  accessories mirrors
bed  bath,bathroom decor  accessories,step stools,0.0,,home,safety,bed rails,,bed  bath bathroom decor  accessories step stools
bed  bath,bathroom decor  accessories,storage  organization,1.0,,home,organization,,,bed  bath bathroom decor  accessories storage  organization
bed  bath,bathroom decor  accessories,towels,6.0,,bath and body,towels,bath towels,,bed  bath bathroom decor  accessories towels
bed  bath,bedding  pillows,bedding  pillows,53.0,,home,bedding and linen,pillows,,bed  bath bedding  pillows bedding  pillows
bed  bath,bedding  pillows,mattresses,7.0,,home,bedding and linen,mattresses,,bed  bath bedding  pillows mattresses
bed  bath,bedding  pillows,pillows  throws,16.0,,home,bedding and linen,pillows,,bed  bath bedding  pillows pillows  throws
bed  bath,bedroom furniture,beds  headboards,0.0,,home,furniture,beds,,bed  bath bedroom furniture beds  headboards
bed  bath,bedroom furniture,bedside tables  nightstands,0.0,,home,furniture,changing tables,,bed  bath bedroom furniture bedside tables  nightstands
bed  bath,bedroom furniture,benches  stools,0.0,,home,safety,bed rails,,bed  bath bedroom furniture benches  stools
bed  bath,bedroom furniture,chests dressers  vanities,0.0,,home,furniture,dressers,,bed  bath bedroom furniture chests dressers  vanities
bed  bath,bedroom furniture,coat racks  umbrella stands,0.0,,home,safety,bed rails,,bed  bath bedroom furniture coat racks  umbrella stands
bed  bath,bedroom furniture,coffee tables,0.0,,home,furniture,changing tables,,bed  bath bedroom furniture coffee tables
bed  bath,bedroom furniture,credenzas buffets  sideboards,0.0,,home,safety,bed rails,,bed  bath bedroom furniture credenzas buffets  sideboards
bed  bath,bedroom furniture,decor,0.0,,home,safety,bed rails,,bed  bath bedroom furniture decor
bed  bath,bedroom furniture,entryway accessories,0.0,,home,safety,bed rails,,bed  bath bedroom furniture entryway accessories
bed  bath,bedroom furniture,mattresses pillows  bedding,0.0,,home,bedding and linen,mattresses,,bed  bath bedroom furniture mattresses pillows  bedding
bed  bath,bedroom furniture,mirrors,0.0,,home,decor,mirrors,,bed  bath bedroom furniture mirrors
bed  bath,bedroom furniture,pillows  throws,0.0,,home,decor,decorative pillows and throws,,bed  bath bedroom furniture pillows  throws
bed  bath,bedroom furniture,shelves  bookcases,0.0,,home,furniture,bookcases and cubbies,,bed  bath bedroom furniture shelves  bookcases
bed  bath,bedroom furniture,side  end tables,0.0,,home,furniture,side tables,,bed  bath bedroom furniture side  end tables
