src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,Unnamed: 9,Unnamed: 10,Unnamed: 11,combined
furniture,classroom furniture collections,flexible seating  bean bag chair,16.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Board Games,furniture classroom furniture collections flexible seating  bean bag chair
furniture,classroom furniture collections,flexible seating  bean bag sofa,1.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Book Bin,furniture classroom furniture collections flexible seating  bean bag sofa
furniture,classroom furniture collections,flexible seating  bench,0.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Books,furniture classroom furniture collections flexible seating  bench
furniture,classroom furniture collections,flexible seating  chair,2.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Caddy,furniture classroom furniture collections flexible seating  chair
furniture,classroom furniture collections,flexible seating  cushionscushion seats,2.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Card Games,furniture classroom furniture collections flexible seating  cushionscushion seats
furniture,classroom furniture collections,flexible seating  cushions,18.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Chart,furniture classroom furniture collections flexible seating  cushions
furniture,classroom furniture collections,flexible seating  educational carpets,0.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Cover,furniture classroom furniture collections flexible seating  educational carpets
furniture,classroom furniture collections,flexible seating  filling,1.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Craft Kit,furniture classroom furniture collections flexible seating  filling
furniture,classroom furniture collections,flexible seating  floor pillows,1.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Curriculum Resources,furniture classroom furniture collections flexible seating  floor pillows
furniture,classroom furniture collections,flexible seating  ottoman,1.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Decorative Stickers,furniture classroom furniture collections flexible seating  ottoman
furniture,classroom furniture collections,flexible seating  pillows,6.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Folder Games,furniture classroom furniture collections flexible seating  pillows
furniture,classroom furniture collections,flexible seating  play space,1.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Folders,furniture classroom furniture collections flexible seating  play space
furniture,classroom furniture collections,flexible seating  posters,0.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),General Use Carpets,furniture classroom furniture collections flexible seating  posters
furniture,classroom furniture collections,flexible seating  posture cushion,1.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Mats,furniture classroom furniture collections flexible seating  posture cushion
furniture,classroom furniture collections,flexible seating  poufs,10.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Miscellaneous Paper Products,furniture classroom furniture collections flexible seating  poufs
furniture,classroom furniture collections,flexible seating  sofastoolpillowsbean bag chairsoft seating,5.0,,baby gear,seating,,,Age/Grade,10 Years (Grade 5),,furniture classroom furniture collections flexible seating  sofastoolpillowsbean bag chairsoft seating
furniture,classroom furniture collections,flexible seating  sofa,0.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Notebooks,furniture classroom furniture collections flexible seating  sofa
furniture,classroom furniture collections,flexible seating  soft seating,3.0,,baby gear,seating,,,Age/Grade,10 Years (Grade 5),Partition,furniture classroom furniture collections flexible seating  soft seating
furniture,classroom furniture collections,flexible seating  stools,0.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Pencils,furniture classroom furniture collections flexible seating  stools
furniture,classroom furniture collections,flexible seating  storage bench,0.0,,home,furniture,storage,,Age/Grade,10 Years (Grade 5),Posters,furniture classroom furniture collections flexible seating  storage bench
furniture,classroom furniture collections,flexible seating  storage,1.0,,home,furniture,storage,,Age/Grade,10 Years (Grade 5),Storage,furniture classroom furniture collections flexible seating  storage
furniture,classroom furniture collections,flexible seating  bundle,0.0,,home,furniture,,,Age/Grade,10 Years (Grade 5),Tray,furniture classroom furniture collections flexible seating  bundle
furniture,classroom furniture collections,flexible seating  na,2.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Banners,furniture classroom furniture collections flexible seating  na
furniture,classroom furniture collections,social seating  activity center,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Board Games,furniture classroom furniture collections social seating  activity center
furniture,classroom furniture collections,social seating  bean bag chair,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Book Bin,furniture classroom furniture collections social seating  bean bag chair
furniture,classroom furniture collections,social seating  bean bag sofa,0.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),Books,furniture classroom furniture collections social seating  bean bag sofa
furniture,classroom furniture collections,social seating  bench,1.0,,home,furniture,,,Age/Grade,11 Years (Grade 6),"Building Blocks,Connecting Blocks",furniture classroom furniture collections social seating  bench
