src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,combined,ent_pt_2_pred,ent_cat_2_pred,ent_sc_2_pred
accessories,accessory kits,,493,,,,,,accessories accessory kits ,Home,Decor,-
accessories,backpacks,,101,,,,,,accessories backpacks ,Home,Decor,-
accessories,belts,,56,,,,,,accessories belts ,Home,Decor,-
accessories,bootsshoes,,399,,,,,,accessories bootsshoes ,Home,Decor,-
accessories,capes,,98,,,,,,accessories capes ,Home,Decor,-
accessories,costume jewelry,,233,,,,,,accessories costume jewelry ,Home,Decor,-
accessories,face masks,,50,,,,,,accessories face masks ,Home,Decor,-
accessories,fake blood,,23,,,,,,accessories fake blood ,Home,Decor,-
accessories,fishnet stockings,,127,,,,,,accessories fishnet stockings ,Home,Decor,-
accessories,glasses  sunglasses,,154,,,,,,accessories glasses  sunglasses ,Home,Decor,-
accessories,gloves,,276,,,,,,accessories gloves ,Home,Decor,-
accessories,halloween clothes,,417,,,,,,accessories halloween clothes ,Home,Decor,-
accessories,hats,,892,,,,,,accessories hats ,Home,Decor,-
accessories,headbands,,384,,,,,,accessories headbands ,Home,Decor,-
accessories,leggings,,32,,,,,,accessories leggings ,Home,Decor,-
accessories,makeup,,525,,,,,,accessories makeup ,Home,Decor,-
accessories,masks,,905,,,,,,accessories masks ,Home,Decor,-
accessories,mustaches  beards,,108,,,,,,accessories mustaches  beards ,Home,Decor,-
accessories,petticoats,,82,,,,,,accessories petticoats ,Home,Decor,-
accessories,purses,,291,,,,,,accessories purses ,Home,Decor,-
accessories,scarves,,92,,,,,,accessories scarves ,Home,Decor,-
accessories,socks  slippers,,131,,,,,,accessories socks  slippers ,Home,Decor,-
accessories,toy weapons,,480,,,,,,accessories toy weapons ,Home,Decor,-
accessories,trick or treat bags  pails,,89,,,,,,accessories trick or treat bags  pails ,Home,Decor,-
accessories,wigs,,893,,,,,,accessories wigs ,Home,Decor,-
accessories,wings,,97,,,,,,accessories wings ,Home,Decor,-
costume ideas,20s costumes,,486,,,,,,costume ideas 20s costumes ,Home,Decor,-
costume ideas,50s costumes,,320,,,,,,costume ideas 50s costumes ,Home,Decor,-
costume ideas,70s costumes,,492,,,,,,costume ideas 70s costumes ,Home,Decor,-
costume ideas,80s costumes,,556,,,,,,costume ideas 80s costumes ,Home,Decor,-
costume ideas,90s costumes,,312,,,,,,costume ideas 90s costumes ,Home,Decor,-
costume ideas,addams family costumes,,160,,,,,,costume ideas addams family costumes ,Home,Decor,-
costume ideas,alice in wonderland costumes,,501,,,,,,costume ideas alice in wonderland costumes ,Home,Decor,-
costume ideas,alien costumes,,254,,,,,,costume ideas alien costumes ,Home,Decor,-
costume ideas,animal costumes,,4216,,,,,,costume ideas animal costumes ,Home,Decor,-
costume ideas,anime costumes,,350,,,,,,costume ideas anime costumes ,Home,Decor,-
costume ideas,avengers costumes,,80,,,,,,costume ideas avengers costumes ,Home,Decor,-
costume ideas,batman costumes,,120,,,,,,costume ideas batman costumes ,Home,Decor,-
costume ideas,bluey costumes,,28,,,,,,costume ideas bluey costumes ,Home,Decor,-
costume ideas,chucky costumes,,67,,,,,,costume ideas chucky costumes ,Home,Decor,-
costume ideas,costume apparel,,1386,,,,,,costume ideas costume apparel ,Home,Decor,-
costume ideas,cowboy costumes,,244,,,,,,costume ideas cowboy costumes ,Home,Decor,-
costume ideas,deadpool costumes,,25,,,,,,costume ideas deadpool costumes ,Home,Decor,-
costume ideas,descendants costumes,,27,,,,,,costume ideas descendants costumes ,Home,Decor,-
